type,title,description,priority,status,sprintId,storyPoints,dueDate,assigneeId,linkedKrId
MktTask,"Setup Tracking In-app & Web (GA4, Pixel)",Gửi tài liệu khung Tracking in-app cho Dev. Đang chờ chốt khung UI Web để triển khai.,Urgent,To Do,sprint-2-id,,2026-04-16,user_Canh,kr-1.1-mkt
Campaign,Scale ngân sách Ads 20-30%,"Tăng 20-30% budget cho 2 case nội dung tốt nhất (recv474i9g, recv5U3lw).",High,To Do,sprint-2-id,,2026-04-14,user_Canh,kr-1.2-mkt
MktTask,Triển khai 15 post nội dung mới + Video,Lên 15 post mới và 3-5 video ads theo chủ đề lợi ích nhanh.,Medium,In Progress,sprint-2-id,,2026-04-19,user_Canh,kr-1.1-mkt
,,,,,,,,,
MediaTask,"Mua và setup công cụ AI (VidIQ, CapCut Pro)",Đã giải ngân và setup xong tài khoản cho cả đội để tăng tốc hậu kỳ.,Medium,Done,sprint-1-id,,2026-03-30,user_Long,kr-2.1-media
MediaTask,Sản xuất TVC Sự kiện (Hoàn thành Demo v1),Đã xong tiền kỳ và có bản Demo v1. Chờ duyệt để chỉnh sửa final.,High,Review,sprint-1-id,,2026-04-10,user_Long,kr-1.1-media
MediaTask,Quay dựng đợt 1 Video UGC & Case Study,Chờ tiếp nhận Brief Kịch bản chi tiết từ phòng Marketing để tiến hành quay dựng.,High,To Do,sprint-2-id,,2026-04-18,user_Long,kr-2.2-media
MediaTask,Quản lý & đăng 33 Video TikTok,"Sản xuất và đăng 2 video ngắn mỗi ngày, follow bình luận để kéo tương tác kênh.",High,In Progress,sprint-2-id,,2026-04-19,user_Long,kr-1.2-media
MediaTask,"Thiết kế Layout PDF, Avatar/Cover Sale Kit",Phục vụ trực tiếp cho đội Sale đi đánh Outbound.,Medium,To Do,sprint-2-id,,2026-04-17,user_Long,kr-2.1-media
,,,,,,,,,
SaleTask,Xử lý data tồn đọng SCRM sau Tết,"Xử lý 70% sub mới, đa số là khách Adscheck click sang SMIT.",High,Done,sprint-1-id,,2026-04-05,user_Hue,kr-1.2-sale
SaleTask,Xây dựng Gem AI hỗ trợ soạn kịch bản,"Tạo AI Agent hỗ trợ viết bài, dịch ngoại ngữ để chát với khách.",Medium,Done,sprint-1-id,,2026-03-28,user_Nhung,kr-2.2-sale
Deal,Deal Khách hàng Nelly (All In One),"Đã demo xong, khách chốt gói All in One ngân sách 500 Tỷ/20.000 TKQC. Đang chờ Tech test nốt yêu cầu custom.",Urgent,Review,sprint-2-id,,2026-04-15,user_Hue,kr-1.1-sale
Deal,Deal Anh Minh (40 Tỷ),"Đã tiến hành demo, khách đang giao nhân sự dùng thử nhưng chưa mặn mà lắm. Cần follow sát.",High,In Progress,sprint-2-id,,2026-04-17,user_Nhung,kr-1.1-sale
SaleTask,Hunting KH mới trên BlackHatWorld,Tìm thông tin khách hàng nước ngoài trên diễn đàn BHW và tiếp cận.,Medium,In Progress,sprint-2-id,,2026-04-19,user_Hue,kr-1.3-sale
SaleTask,Gọi kịch bản xin Referral (Cu2Cu),Lọc khách hàng cũ đang dùng tốt để xin lời giới thiệu.,High,In Progress,sprint-2-id,,2026-04-16,user_Nhung,kr-1.2-sale
Epic,Vẽ luồng UI/UX S-CRM v2 (VibeCode),(Quân làm) Thiết kế 100% bản vẽ luồng S-CRM v2 để bàn giao đội Tech vào 30/04.,Urgent,In Progress,sprint-2-id,,2026-04-30,user_Quan,kr-2.3-sale
